employee_name,user_id,email,role,business_unit,functional_unit,department,team,supervisor
Marshall Benjamin Wilcox,MBW0809,Marshall.Benjamin.Wilcox@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George
Martina Cassandra Fields,MCF0327,Martina.Cassandra.Fields@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf
Sylvester Guy Sanders,SGS0268,Sylvester.Guy.Sanders@dtaa.com,SystemsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell
Brian Nathaniel Greer,BNG0237,Brian.Nathaniel.Greer@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston
Olympia Shafira Harrison,OSH0655,Olympia.Shafira.Harrison@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston
Catherine Savannah Bullock,CSB0080,Catherine.Savannah.Bullock@dtaa.com,AdministrativeAssistant,1,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris
Ella Rachel Hess,ERH0449,Ella.Rachel.Hess@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter
Eagan Gannon Koch,EGK0893,Eagan.Gannon.Koch@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
Maggy Melissa Burt,MMB0488,Maggy.Melissa.Burt@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson
Abel Adam Morton,AAM0658,Abel.Adam.Morton@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston
Eliana Stephanie Albert,ESA0642,Eliana.Stephanie.Albert@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston
Chandler Raymond Kirk,CRK0916,Chandler.Raymond.Kirk@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews
Bruno Beau Hoover,BBH0810,Bruno.Beau.Hoover@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George
Jessica Rachel Freeman,JRF0835,Jessica.Rachel.Freeman@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen
Sloane Jade Cochran,SJC0333,Sloane.Jade.Cochran@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon
Halla Cathleen Simmons,HCS0003,Halla.Cathleen.Simmons@dtaa.com,VicePresident,1,1 - Adminstration,,,Mona Susan Shannon
Edan Marsden Briggs,EMB0531,Edan.Marsden.Briggs@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
Jane Ignacia Mcdonald,JIM0095,Jane.Ignacia.Mcdonald@dtaa.com,AdministrativeAssistant,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell
Kay Janna Snider,KJS0618,Kay.Janna.Snider@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks
Eaton Burton Crane,EBC0390,Eaton.Burton.Crane@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan
Willa Giselle Stanton,WGS0516,Willa.Giselle.Stanton@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
Nissim Gil French,NGF0157,Nissim.Gil.French@dtaa.com,FinancialAnalyst,1,4 - Finance,3 - FinancialPlanning,,Libby Rosalyn Richard
Katell Amethyst Thornton,KAT0489,Katell.Amethyst.Thornton@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson
Cora Clementine Higgins,CCH0685,Cora.Clementine.Higgins@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne
Doris Mona Michael,DMM0623,Doris.Mona.Michael@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks
Sylvia Ariana Head,SAH0599,Sylvia.Ariana.Head@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England
Connor Phelan Guerra,CPG0322,Connor.Phelan.Guerra@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf
Orson Barrett Houston,OBH0499,Orson.Barrett.Houston@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson
Sage Nichole Savage,SNS0129,Sage.Nichole.Savage@dtaa.com,AdministrativeAssistant,1,3 - Manufacturing,3 - Assembly,,Delilah Iliana Wilkinson
Philip Keith Barron,PKB0429,Philip.Keith.Barron@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott
Nicole Aurelia Hanson,NAH0503,Nicole.Aurelia.Hanson@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson
Felicia Rhona Butler,FRB0023,Felicia.Rhona.Butler@dtaa.com,HumanResourceSpecialist,1,1 - Adminstration,2 - EmployeeRelations,,Blaze Trevor Stone
Amir Hayden Gray,AHG0634,Amir.Hayden.Gray@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston
Chadwick Wayne Bond,CWB0065,Chadwick.Wayne.Bond@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,,Todd Vance Spears
Aurora Tatiana Payne,ATP0662,Aurora.Tatiana.Payne@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Todd Vance Spears
Dalton Perry Mejia,DPM0423,Dalton.Perry.Mejia@dtaa.com,HardwareEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker
Walter Kaseem Foley,WKF0012,Walter.Kaseem.Foley@dtaa.com,Director,1,1 - Adminstration,3 - Training,,Halla Cathleen Simmons
Jarrod Malik Burris,JMB0308,Jarrod.Malik.Burris@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf
Amity Kendall Foley,AKF0709,Amity.Kendall.Foley@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder
Jermaine Mannix Hansen,JMH0543,Jermaine.Mannix.Hansen@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall
Camille Julie Freeman,CJF0802,Camille.Julie.Freeman@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn
Ignatius Reese Morton,IRM0931,Ignatius.Reese.Morton@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball
Fulton Quinn Avery,FQA0854,Fulton.Quinn.Avery@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley
Cecilia Yuri Ashley,CYA0506,Cecilia.Yuri.Ashley@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
Gay Ria Cantu,GRC0145,Gay.Ria.Cantu@dtaa.com,AdministrativeAssistant,1,4 - Finance,,,Thomas Vladimir Stokes
Benjamin Lewis Sweeney,BLS0678,Benjamin.Lewis.Sweeney@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez
Harlan Jason Benjamin,HJB0742,Harlan.Jason.Benjamin@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan
Kimberley Kiona Sosa,KKS0119,Kimberley.Kiona.Sosa@dtaa.com,Manager,1,3 - Manufacturing,4 - QualityControl,,Byron Tyrone Williamson
Raymond Arsenio Blackwell,RAB0589,Raymond.Arsenio.Blackwell@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England
Demetrius Barry Bullock,DBB0384,Demetrius.Barry.Bullock@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan
Teagan Raven Kennedy,TRK0914,Teagan.Raven.Kennedy@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews
Blossom Scarlett Aguirre,BSA0431,Blossom.Scarlett.Aguirre@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott
Rachel Hermione Le,RHL0992,Rachel.Hermione.Le@dtaa.com,IndustrialEngineer,1,3 - Manufacturing,1 - IndustrialEngineering,,Grant Tyrone Doyle
Caldwell Ian Maxwell,CIM0926,Caldwell.Ian.Maxwell@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews
Cassidy Florence Gibbs,CFG0959,Cassidy.Florence.Gibbs@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz
Vera Mollie Jenkins,VMJ0147,Vera.Mollie.Jenkins@dtaa.com,Manager,1,4 - Finance,2 - Payroll,,Thomas Vladimir Stokes
Sawyer Abel Turner,SAT0194,Sawyer.Abel.Turner@dtaa.com,PurchasingClerk,1,6 - PurchasingAndContracts,1 - Purchasing,,August Armando Evans
Harper Basil Obrien,HBO0413,Harper.Basil.Obrien@dtaa.com,SystemsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker
Declan Zachery Caldwell,DZC0228,Declan.Zachery.Caldwell@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson
Theodore Eagan Bass,TEB0251,Theodore.Eagan.Bass@dtaa.com,MechanicalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris
Maryam Nelle Ruiz,MNR0829,Maryam.Nelle.Ruiz@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen
Daryl Ocean Patel,DOP0562,Daryl.Ocean.Patel@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington
Uriel Axel Diaz,UAD0771,Uriel.Axel.Diaz@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes
Ayanna Leandra Dunlap,ALD0544,Ayanna.Leandra.Dunlap@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall
Lysandra Chastity Brennan,LCB0664,Lysandra.Chastity.Brennan@dtaa.com,Manager,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Donovan Carlos Chapman
Hyacinth Clare Lindsay,HCL0113,Hyacinth.Clare.Lindsay@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates
Tamara Shaeleigh Best,TSB0437,Tamara.Shaeleigh.Best@dtaa.com,Technician,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott
Elton Zeus Horton,EZH0736,Elton.Zeus.Horton@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan
Josiah Chester Gray,JCG0316,Josiah.Chester.Gray@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf
Malcolm Sebastian Garrison,MSG0839,Malcolm.Sebastian.Garrison@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen
Lionel Jasper Johnston,LJJ0905,Lionel.Jasper.Johnston@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
Hall Colorado Morin,HCM0267,Hall.Colorado.Morin@dtaa.com,MaterialsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Ainsley MacKensie Doyle
Malachi Thor Butler,MTB0620,Malachi.Thor.Butler@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks
Clayton Clark Humphrey,CCH0182,Clayton.Clark.Humphrey@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon
Cole Aaron Mcfarland,CAM0681,Cole.Aaron.Mcfarland@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne
Lyle Brady Hayes,LBH0942,Lyle.Brady.Hayes@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball
Cedric Alexander Bowers,CAB0388,Cedric.Alexander.Bowers@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan
William Graham Rowe,WGR0833,William.Graham.Rowe@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen
Mohammad Taylor Terrell,MTT0901,Mohammad.Taylor.Terrell@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
Gisela Quintessa Fischer,GQF0659,Gisela.Quintessa.Fischer@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston
Callum Scott Parrish,CSP0197,Callum.Scott.Parrish@dtaa.com,PurchasingClerk,1,6 - PurchasingAndContracts,1 - Purchasing,,August Armando Evans
Octavia May Maddox,OMM0944,Octavia.May.Maddox@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz
Irma Melanie Patrick,IMP0530,Irma.Melanie.Patrick@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
Owen Ross Burks,ORB0473,Owen.Ross.Burks@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter
Jenette McKenzie Lynn,JML0909,Jenette.McKenzie.Lynn@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
Noble Devin Mack,NDM0417,Noble.Devin.Mack@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker
Ferdinand Rashad Lee,FRL0511,Ferdinand.Rashad.Lee@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
Lynn Adena Pratt,LAP0338,Lynn.Adena.Pratt@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon
Harper Clark Vazquez,HCV0478,Harper.Clark.Vazquez@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson
Kimberley Joy Anderson,KJA0152,Kimberley.Joy.Anderson@dtaa.com,AdministrativeAssistant,1,4 - Finance,2 - Payroll,,Vera Mollie Jenkins
Erasmus Cameron Franco,ECF0828,Erasmus.Cameron.Franco@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen
Buffy Vivien Nichols,BVN0514,Buffy.Vivien.Nichols@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
Bruno Stewart Silva,BSS0463,Bruno.Stewart.Silva@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter
Jonathan John Martinez,JJM0203,Jonathan.John.Martinez@dtaa.com,Engineer,1,6 - PurchasingAndContracts,3 - Contracts,,Whoopi Britanney Camacho
Adam Ishmael Mcdaniel,AIM0627,Adam.Ishmael.Mcdaniel@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks
Rashad August Hatfield,RAH0440,Rashad.August.Hatfield@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott
Xenos Hayden Gallegos,XHG0902,Xenos.Hayden.Gallegos@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
Tobias Dakota Jacobs,TDJ0998,Tobias.Dakota.Jacobs@dtaa.com,MechanicalEngineer,1,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison
John Price Atkins,JPA0667,John.Price.Atkins@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez
Elaine Hanna Raymond,EHR0096,Elaine.Hanna.Raymond@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell
Sharon Jemima Whitehead,SJW0451,Sharon.Jemima.Whitehead@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter
Colton Nathan Barber,CNB0900,Colton.Nathan.Barber@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
Ethan Arden Hays,EAH0466,Ethan.Arden.Hays@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter
Curran Tarik Ayala,CTA0020,Curran.Tarik.Ayala@dtaa.com,HumanResourceSpecialist,1,1 - Adminstration,1 - Personnel,,Bethany Xerxes Johnson
Sandra Roary Solomon,SRS0231,Sandra.Roary.Solomon@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson
Hadley Willa Hill,HWH0646,Hadley.Willa.Hill@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston
Halee Kim Burnett,HKB0418,Halee.Kim.Burnett@dtaa.com,SystemsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker
Chanda Celeste Mosley,CCM0855,Chanda.Celeste.Mosley@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley
Shelley Eleanor Dawson,SED0886,Shelley.Eleanor.Dawson@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
Logan Branden Cherry,LBC0356,Logan.Branden.Cherry@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong
Chloe Keiko Holland,CKH0144,Chloe.Keiko.Holland@dtaa.com,Engineer,1,3 - Manufacturing,4 - QualityControl,,Kimberley Kiona Sosa
Melvin Brody Garza,MBG0438,Melvin.Brody.Garza@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott
Mohammad Vladimir Farrell,MVF0594,Mohammad.Vladimir.Farrell@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England
Alea Tana Ferrell,ATF0274,Alea.Tana.Ferrell@dtaa.com,HardwareEngineer,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell
Kendall Thaddeus Glover,KTG0091,Kendall.Thaddeus.Glover@dtaa.com,MaterialsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Ainsley MacKensie Doyle
Alfonso Colin Cooley,ACC0042,Alfonso.Colin.Cooley@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins
Arsenio Kato Wilder,AKW0167,Arsenio.Kato.Wilder@dtaa.com,AdministrativeAssistant,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf
Kirk Palmer Rosales,KPR0497,Kirk.Palmer.Rosales@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson
Amaya Britanni Newton,ABN0239,Amaya.Britanni.Newton@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston
Colton Kaseem Bolton,CKB0482,Colton.Kaseem.Bolton@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson
Alfreda Morgan Holloway,AMH0464,Alfreda.Morgan.Holloway@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter
Quinn Coby Hays,QCH0110,Quinn.Coby.Hays@dtaa.com,Technician,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates
Sara Gail George,SGG0787,Sara.Gail.George@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Todd Vance Spears
Sarah Imelda Juarez,SIJ0661,Sarah.Imelda.Juarez@dtaa.com,LabManager,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Summer Leilani Boyer
Byron Tyrone Williamson,BTW0005,Byron.Tyrone.Williamson@dtaa.com,VicePresident,1,3 - Manufacturing,,,Mona Susan Shannon
Risa Laura Bolton,RLB0719,Risa.Laura.Bolton@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder
William Damian Oconnor,WDO0870,William.Damian.Oconnor@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley
Kaden Chastity Briggs,KCB0815,Kaden.Chastity.Briggs@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George
Vincent Calvin Young,VCY0751,Vincent.Calvin.Young@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan
Brock Aladdin Joyce,BAJ0654,Brock.Aladdin.Joyce@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston
Madonna Kristen Love,MKL0941,Madonna.Kristen.Love@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball
Elijah Gary Diaz,EGD0409,Elijah.Gary.Diaz@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker
Dale Benjamin Sharpe,DBS0235,Dale.Benjamin.Sharpe@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson
Jael Jennifer Hansen,JJH0613,Jael.Jennifer.Hansen@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks
Ulric Ferdinand Knapp,UFK0208,Ulric.Ferdinand.Knapp@dtaa.com,SecurityGuard,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe
Brent Laith Beck,BLB0114,Brent.Laith.Beck@dtaa.com,MechanicalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates
Cheyenne Kay Dickerson,CKD0680,Cheyenne.Kay.Dickerson@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez
Myra Kay Greer,MKG0711,Myra.Kay.Greer@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder
Edward Dean Anthony,EDA0684,Edward.Dean.Anthony@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne
Illana Isabelle Lamb,IIL0513,Illana.Isabelle.Lamb@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
TaShya Savannah Mcgowan,TSM0363,TaShya.Savannah.Mcgowan@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong
Price Bevis Pittman,PBP0002,Price.Bevis.Pittman@dtaa.com,AdministrativeAssistant,1,,,,Mona Susan Shannon
Louis Hyatt Bruce,LHB0606,Louis.Hyatt.Bruce@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks
Guy Tad Daniel,GTD0898,Guy.Tad.Daniel@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
Calvin Jarrod Hood,CJH0702,Calvin.Jarrod.Hood@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder
Desirae Mari Koch,DMK0257,Desirae.Mari.Koch@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry
Willow Iliana Quinn,WIQ0567,Willow.Iliana.Quinn@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington
Peter Tad Hartman,PTH0830,Peter.Tad.Hartman@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen
Nicholas Cade Owen,NCO0666,Nicholas.Cade.Owen@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez
Maxwell Hammett Green,MHG0733,Maxwell.Hammett.Green@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan
Robert Ali Webb,RAW0915,Robert.Ali.Webb@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews
Hillary Ainsley Mccormick,HAM0985,Hillary.Ainsley.Mccormick@dtaa.com,TechnicalTrainer,1,1 - Adminstration,3 - Training,,Walter Kaseem Foley
Serina Ariana Butler,SAB0781,Serina.Ariana.Butler@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes
Ira Benjamin Mays,IBM0671,Ira.Benjamin.Mays@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez
Yasir Dexter Nelson,YDN0198,Yasir.Dexter.Nelson@dtaa.com,AdministrativeAssistant,1,6 - PurchasingAndContracts,2 - Pricing,,Eugenia Whilemina Harrington
